"category,english,hindi_variant,kannada_variant"
"drugs,Paracetamol,पैरासिटामोल,ಪ್ಯಾರಾಸಿಟಮಾಲ್"
"drugs,Nimesulide,निमेसुलाइड,ನಿಮೆಸುಲೈಡ್"
"drugs,Methylcobalamin,मिथाइलकोबालामिन,ಮೆಥೈಲ್‍ಕೋಬಾಲಾಮಿನ್"
"drugs,Progesterone,प्रोजेस्टेरोन,ಪ್ರೊಜೆಸ್ಟರಾನ್"
"drugs,Ceftazidime,सेफ्टाज़िडाइम,ಸೆಫ್ಟಾಜಿಡೈಮ್"
"drugs,Domperidone,डॉम्पेरिडोन,ಡೊಂಪೆರಿಡೋನ್"
"drugs,Ceftriaxone,सेफ्ट्रिएक्सोन,ಸೆಫ್ಟ್ರಿಯಾಕ್ಸೋನ್"
"drugs,Linezolid,लाइनज़ोलिड,ಲೈನೆಜೋಲಿಡ್"
"drugs,Itraconazole,इट्राकोनाज़ोल,ಇಟ್ರಾಕೊನಜೋಲ್"
"drugs,Disodium,डाइसोडियम,ಡೈಸೋಡಿಯಂ"
"drugs,Rifaximin,रिफैक्सिमिन,ರಿಫಾಕ್ಸಿಮಿನ್"
"drugs,Fexofenadine,फेक्सोफेनाडाइन,ಫೆಕ್ಸೊಫೆನಡಿನ್"
"drugs,Cefixime,सेफिक्साइम,ಸೆಫಿಕ್ಸೈಮ್"
"drugs,Amoxycillin,एमॉक्सिसिलिन,ಅಮಾಕ್ಸಿಸಿಲಿನ್"
"drugs,Cefadroxil,सेफाड्रॉक्सिल,ಸೆಫಾಡ್ರಾಕ್ಸಿಲ್"
"drugs,Permethrin,परमेथ्रिन,ಪರ್ಮೆಥ್ರಿನ್"
"drugs,Benfotiamine,बेनफोटियामिन,ಬೆನ್‍ಫೋಟಿಯಮಿನ್"
"drugs,Cetrimide,सेट्रिमाइड,ಸೆಟ್ರಿಮೈಡ್"
"drugs,Chlorpheniramine,क्लोरफेनिरामिन,ಕ್ಲೋರ್ಫೆನಿರಮಿನ್"
"drugs,Azithromycin,एज़िथ्रोमाइसिन,ಅಜಿಥ್ರೊಮೈಸಿನ್"
"drugs,Metoprolol,मेटोप्रोलोल,ಮೆಟೊಪ್ರೊಲಾಲ್"
"drugs,Ondansetron,ओनडैनसेट्रॉन,ಒಂಡಾನ್ಸೆಟ್ರಾನ್"
"drugs,Naphazoline,नैफाज़ोलिन,ನಾಫಜೋಲಿನ್"
"drugs,Clonazepam,क्लोनाज़ेपाम,ಕ್ಲೋನಜೆಪಾಂ"
"drugs,Letrozole,लेट्रोज़ोल,ಲೆಟ್ರೊಜೋಲ್"
"drugs,Ofloxacin,ओफ्लॉक्सासिन,ಆಫ್ಲಾಕ್ಸಾಸಿನ್"
"drugs,Vildagliptin,विल्डाग्लिप्टिन,ವಿಲ್ಡಾಗ್ಲಿಪ್ಟಿನ್"
"drugs,Pregabalin,प्रेगाबालिन,ಪ್ರೆಗಬಾಲಿನ್"
"drugs,Nurodex,नूरोडेक्स,ನ್ಯೂರೋಡೆಕ್ಸ್"
"drugs,Tremolide,ट्रेमोलाइड,ಟ್ರೆಮೊಲೈಡ್"
"drugs,Estpro,एस्टप्रो,ಎಸ್ಟ್‍ಪ್ರೊ"
"drugs,Vertacef-TAZ,वर्टासेफ-टाज़,ವರ್ಟಾಸೆಫ್-ಟಾಜ್"
"drugs,Pant-D,पैन्ट-डी,ಪ್ಯಾಂಟ್-ಡಿ"
"drugs,Trisys Forte,ट्राइसिस फोर्ट,ಟ್ರೈಸಿಸ್ ಫೋರ್ಟ್"
"drugs,Frankee-D,फ्रैंकी-डी,ಫ್ರಾಂಕಿ-ಡಿ"
"drugs,Linser-S,लिनसर-एस,ಲಿನ್ಸರ್-ಎಸ್"
"drugs,Syotra,सायोट्रा,ಸಯೋಟ್ರಾ"
"drugs,Alkatis,अल्काटिस,ಅಲ್ಕಾಟಿಸ್"
"drugs,Rifaxin,रिफैक्सिन,ರಿಫಾಕ್ಸಿನ್"
"drugs,Algrot,अल्ग्रोट,ಅಲ್ಗ್ರೋಟ್"
"drugs,Rokcef,रोकसेफ,ರೋಕ್ಸೆಫ್"
"drugs,Reflixt-DS,रेफ्लिक्स्ट-डीएस,ರೆಫ್ಲಿಕ್ಸ್ಟ್-ಡಿಎಸ್"
